debut,fin,valeur
1577833200,1577836800,529
1577836800,1577840400,512
1577840400,1577844000,584
1577844000,1577847600,701
1577847600,1577851200,690
1577851200,1577854800,706
1577854800,1577858400,707
1577858400,1577862000,642
1577862000,1577865600,686
1577865600,1577869200,629
1577869200,1577872800,693
1577872800,1577876400,557
1577876400,1577880000,780
1577880000,1577883600,759
1577883600,1577887200,614
1577887200,1577890800,659
1577890800,1577894400,709
1577894400,1577898000,666
1577898000,1577901600,701
1577901600,1577905200,679
1577905200,1577908800,746
1577908800,1577912400,564
1577912400,1577916000,714
1577916000,1577919600,645
1577919600,1577923200,717
1577923200,1577926800,752
1577926800,1577930400,587
1577930400,1577934000,751
1577934000,1577937600,769
1577937600,1577941200,710
1577941200,1577944800,568
1577944800,1577948400,581
1577948400,1577952000,551
1577952000,1577955600,763
1577955600,1577959200,512
1577959200,1577962800,715
1577962800,1577966400,574
1577966400,1577970000,653
1577970000,1577973600,610
1577973600,1577977200,769
1577977200,1577980800,602
1577980800,1577984400,616
1577984400,1577988000,720
1577988000,1577991600,768
1577991600,1577995200,500
1577995200,1577998800,607
1577998800,1578002400,564
1578002400,1578006000,631
1578006000,1578009600,563
1578009600,1578013200,604
1578013200,1578016800,573
1578016800,1578020400,612
1578020400,1578024000,605
1578024000,1578027600,764
1578027600,1578031200,760
1578031200,1578034800,532
1578034800,1578038400,507
1578038400,1578042000,582
1578042000,1578045600,683
1578045600,1578049200,748
1578049200,1578052800,757
1578052800,1578056400,673
1578056400,1578060000,594
1578060000,1578063600,714
1578063600,1578067200,601
1578067200,1578070800,711
1578070800,1578074400,766
1578074400,1578078000,652
1578078000,1578081600,626
1578081600,1578085200,648
1578085200,1578088800,637
1578088800,1578092400,556
1578092400,1578096000,595
1578096000,1578099600,523
1578099600,1578103200,777
1578103200,1578106800,594
1578106800,1578110400,534
1578110400,1578114000,652
1578114000,1578117600,591
1578117600,1578121200,716
1578121200,1578124800,503
1578124800,1578128400,550
1578128400,1578132000,660
1578132000,1578135600,636
1578135600,1578139200,616
1578139200,1578142800,792
1578142800,1578146400,658
1578146400,1578150000,639
1578150000,1578153600,719
1578153600,1578157200,528
1578157200,1578160800,531
1578160800,1578164400,701
1578164400,1578168000,551
1578168000,1578171600,705
1578171600,1578175200,683
1578175200,1578178800,763
